      12.9498     0.120317     0.695778    0.0441603
      12.8275     0.124090     0.658441    0.0542976
      12.7019     0.127198     0.720231    0.0642731
      12.5734     0.129769     0.693287    0.0525526
      12.4426     0.131917     0.692340    0.0529388
      12.3097     0.133747     0.690019    0.0455451
      12.1752     0.135360     0.690624    0.0399555
      12.0391     0.136844     0.716508    0.0487785
      11.9015     0.138280     0.695599    0.0485345
      11.7625     0.139738     0.696648    0.0557106
      11.6220     0.141281     0.709952    0.0461963
      11.4799     0.142963     0.715793    0.0447694
      11.3360     0.144829     0.710514    0.0381632
      11.1901     0.146912     0.718862    0.0388599
      11.0420     0.149239     0.713822    0.0392527
      10.8915     0.151830     0.728904    0.0379442
      10.7382     0.154695     0.725267    0.0362666
      10.5820     0.157831     0.728562    0.0360429
      10.4225     0.161234     0.726693    0.0361403
      10.2594     0.164889     0.724545    0.0332934
      10.0926     0.168769     0.734513    0.0318165
      9.92176     0.172842     0.721451    0.0401540
      9.74680     0.177073     0.716882    0.0498582
      9.56756     0.181412     0.738645    0.0504386
      9.38395     0.185808     0.769443    0.0383772
      9.19594     0.190208     0.785967    0.0357704
      9.00356     0.194548     0.805743    0.0364129
      8.80690     0.198769     0.809381    0.0375537
      8.60612     0.202803     0.818930    0.0410026
      8.40142     0.206591     0.824245    0.0420647
