baseline,10micron
0,[1],[1]
5,[0.99073305]
10,[0.96342597]
15,[0.91898719]
20,[0.85898032]
25,[0.78559108]
30,[0.70129194]
35,[0.60904137]
40,[0.51192051]
45,[0.41310522]
50,[0.31572014]
55,[0.22272156]
60,[0.13674647]
65,[0.0600139]
70,[0.00562738]
75,[0.05903379]
80,[0.09948032]
85,[0.12686432]
90,[0.14167991]
95,[0.14476712]
100,[0.13757973]
105,[0.1217963]
110,[0.09935616]
115,[0.07238079]
120,[0.04296961]
125,[0.013186]
130,[0.01509854]
135,[0.0402357]
140,[0.06093964]
145,[0.07623788]
150,[0.08557795]
155,[0.08881309]
160,[0.08609958]
165,[0.07803492]
170,[0.06542986]
175,[0.04933823]
180,[0.03097349]
185,[0.01159645]
190,[0.00752349]
195,[0.02521117]
200,[0.04042312]
