baseline,2.11817micron,10.54976micron
0,[1],[1]
5,[0.12004364],[0.76284403]
10,[0.07117923],[0.48909414]
15,[0.15402327],[0.23564865]
20,[0.16348926],[0.02416406]
25,[0.12473136],[0.12975593]
30,[0.06621863],[0.21290097]
35,[0.01382371],[0.22700552]
40,[0.01740097],[0.18239431]
45,[0.02502699],[0.10108531]
50,[0.01791068],[0.00789027]
55,[0.00687895],[0.07350334]
60,[0.0020248],[0.12505591]
65,[0.00419172],[0.13864954]
70,[0.01181589],[0.11624243]
75,[0.01844671],[0.06755502]
80,[0.01940043],[0.00786762]
85,[0.0140134],[0.04704077]
90,[0.00557411],[0.08417506]
95,[0.0023406],[0.09619612]
100,[0.00571824],[0.08298312]
105,[0.00537969],[0.05040016]
110,[0.00306808],[0.00875625]
115,[0.00143192],[0.03102347]
120,[0.00187294],[0.05891932]
125,[0.00384654],[0.06946638]
130,[0.00575589],[0.06144396]
135,[0.00596629],[0.03887488]
140,[0.00429911],[0.0088213]
145,[0.00176423],[0.02030156]
150,[0.00162698],[0.0414941]
155,[0.00239818],[0.04991979]
160,[0.00239964],[0.04511406]
165,[0.],[0.02942589]
170,[0.],[0.00816297]
175,[0.],[0.0130235]
180,[0.],[0.02835869]
185,[0.],[0.03495669]
190,[0.],[0.03201449]
195,[0.],[0.02101663]
200,[0.],[0.00656894]
