baseline,"[9.478886, 10.54976, 11.74162]"
0,1
5,"[[0.99779161]
 [0.99787443]
 [0.9981185 ]]"
10,"[[0.99146736]
 [0.99180355]
 [0.99271906]]"
15,"[[0.98166057]
 [0.98248804]
 [0.98443111]]"
20,"[[0.9691327 ]
 [0.97074391]
 [0.97402997]]"
25,"[[0.95442732]
 [0.95722774]
 [0.96217521]]"
30,"[[0.93784109]
 [0.9422827 ]
 [0.94925141]]"
35,"[[0.91950056]
 [0.92599911]
 [0.93536697]]"
40,"[[0.89952178]
 [0.90838398]
 [0.9204763 ]]"
45,"[[0.87806653]
 [0.88950974]
 [0.9045311 ]]"
50,"[[0.85529879]
 [0.86951596]
 [0.88757043]]"
55,"[[0.83133869]
 [0.84854623]
 [0.86971492]]"
60,"[[0.80624258]
 [0.82669176]
 [0.85109686]]"
65,"[[0.78007445]
 [0.80397202]
 [0.83179176]]"
70,"[[0.75292057]
 [0.78038732]
 [0.81180191]]"
75,"[[0.72490973]
 [0.75598073]
 [0.79109602]]"
80,"[[0.69614395]
 [0.73085076]
 [0.76966808]]"
85,"[[0.66669956]
 [0.70510464]
 [0.7475694 ]]"
90,"[[0.6366264 ]
 [0.67881262]
 [0.72489376]]"
95,"[[0.60599685]
 [0.65200728]
 [0.70173235]]"
100,"[[0.57490718]
 [0.62470403]
 [0.67813559]]"
105,"[[0.5434611 ]
 [0.59694267]
 [0.65410974]]"
110,"[[0.51174017]
 [0.56880316]
 [0.62964721]]"
115,"[[0.47980342]
 [0.54037768]
 [0.60476447]]"
120,"[[0.44771255]
 [0.51173522]
 [0.57951814]]"
125,"[[0.41555016]
 [0.48291192]
 [0.55398909]]"
130,"[[0.38341461]
 [0.45393326]
 [0.52824939]]"
135,"[[0.35139676]
 [0.42484211]
 [0.50233884]]"
140,"[[0.31956493]
 [0.39571123]
 [0.47626828]]"
145,"[[0.28798037]
 [0.36662671]
 [0.45004526]]"
150,"[[0.25671101]
 [0.33765894]
 [0.42370073]]"
155,"[[0.22584477]
 [0.30885222]
 [0.39729621]]"
160,"[[0.19546681]
 [0.28023789]
 [0.37090723]]"
165,"[[0.16565082]
 [0.25185754]
 [0.34459719]]"
170,"[[0.13645304]
 [0.22377591]
 [0.31840217]]"
175,"[[0.10793403]
 [0.19607157]
 [0.29233774]]"
180,"[[0.08017241]
 [0.16880701]
 [0.26642078]]"
185,"[[0.0532708 ]
 [0.14202474]
 [0.24068857]]"
190,"[[0.02743021]
 [0.11575806]
 [0.2152005 ]]"
195,"[[0.00578928]
 [0.09004838]
 [0.19002193]]"
200,"[[0.02321068]
 [0.0649634 ]
 [0.16520394]]"
