baseline,"[9.478886, 10.54976, 11.74162]"
0,1
5,"[[0.99559816]
 [0.99547882]
 [0.99579469]]"
10,"[[0.98338571]
 [0.98290766]
 [0.9839817 ]]"
15,"[[0.96555749]
 [0.96460128]
 [0.96660971]]"
20,"[[0.94450911]
 [0.94316651]
 [0.94614067]]"
25,"[[0.92173287]
 [0.92048559]
 [0.92455479]]"
30,"[[0.8976919 ]
 [0.89726173]
 [0.90283442]]"
35,"[[0.87231501]
 [0.87335262]
 [0.88101571]]"
40,"[[0.84562952]
 [0.84844171]
 [0.85866688]]"
45,"[[0.81796655]
 [0.82255087]
 [0.83544371]]"
50,"[[0.78973452]
 [0.79605748]
 [0.81139557]]"
55,"[[0.76113813]
 [0.76939427]
 [0.78690753]]"
60,"[[0.73214488]
 [0.7427467 ]
 [0.76240989]]"
65,"[[0.70270226]
 [0.71601345]
 [0.73810604]]"
70,"[[0.67290531]
 [0.68901812]
 [0.71390678]]"
75,"[[0.64296695]
 [0.6617394 ]
 [0.68958186]]"
80,"[[0.61303334]
 [0.63435437]
 [0.66498445]]"
85,"[[0.58309104]
 [0.60708031]
 [0.6401743 ]]"
90,"[[0.55305054]
 [0.57999711]
 [0.61536358]]"
95,"[[0.52290139]
 [0.5530047 ]
 [0.5907497 ]]"
100,"[[0.49275893]
 [0.52595626]
 [0.56637488]]"
105,"[[0.46276718]
 [0.49881492]
 [0.54211698]]"
110,"[[0.43298093]
 [0.47169922]
 [0.51780624]]"
115,"[[0.40336273]
 [0.44477948]
 [0.49336875]]"
120,"[[0.37388619]
 [0.41814096]
 [0.46888597]]"
125,"[[0.34462282]
 [0.3917389 ]
 [0.44453285]]"
130,"[[0.31570994]
 [0.36547807]
 [0.42045145]]"
135,"[[0.28725685]
 [0.33933809]
 [0.39666114]]"
140,"[[0.25928074]
 [0.31341835]
 [0.37307035]]"
145,"[[0.23176905]
 [0.28786792]
 [0.34957287]]"
150,"[[0.20475207]
 [0.26277812]
 [0.32614863]]"
155,"[[0.1783386 ]
 [0.23814006]
 [0.30289168]]"
160,"[[0.15263794]
 [0.21389676]
 [0.27994935]]"
165,"[[0.12770022]
 [0.19003856]
 [0.25742588]]"
170,"[[0.10351199]
 [0.16664809]
 [0.23532699]]"
175,"[[0.08007603]
 [0.14385494]
 [0.21358548]]"
180,"[[0.05746896]
 [0.12173507]
 [0.19214223]]"
185,"[[0.03584496]
 [0.10028059]
 [0.17101575]]"
190,"[[0.01563535]
 [0.07944246]
 [0.15030622]]"
195,"[[0.00789176]
 [0.0592119 ]
 [0.13013398]]"
200,"[[0.02503042]
 [0.03968418]
 [0.11056398]]"
