baseline,10micron
0,[1],[1]
10,[0.8836829]
20,[0.56206513]
30,[0.10985421]
40,[0.36793232]
50,[0.76019932]
60,[0.9757056]
70,[0.96448259]
80,[0.72914128]
90,[0.3243022]
100,[0.15596039]
110,[0.59991492]
120,[0.90446527]
130,[0.99887398]
140,[0.8609925]
150,[0.52300214]
160,[0.06351261]
170,[0.41076503]
180,[0.78961919]
190,[0.98482348]
200,[0.9511786]
