baseline,"[9.478886, 10.54976, 11.74162]"
0,1
5,"[[0.99687821]
 [0.99678899]
 [0.99697089]]"
10,"[[0.98804609]
 [0.98772215]
 [0.98836772]]"
15,"[[0.97466757]
 [0.9741188 ]
 [0.97543527]]"
20,"[[0.9581088 ]
 [0.95751554]
 [0.95970296]]"
25,"[[0.93934117]
 [0.93912782]
 [0.94246298]]"
30,"[[0.91885305]
 [0.91956228]
 [0.92445189]]"
35,"[[0.89681307]
 [0.89893897]
 [0.90584774]]"
40,"[[0.87335709]
 [0.87721361]
 [0.88651464]]"
45,"[[0.84870494]
 [0.85445156]
 [0.86630814]]"
50,"[[0.82309384]
 [0.83086025]
 [0.84526046]]"
55,"[[0.7966826 ]
 [0.80667287]
 [0.82357431]]"
60,"[[0.76952903]
 [0.78202218]
 [0.80148588]]"
65,"[[0.74168656]
 [0.75691189]
 [0.77912617]]"
70,"[[0.71325731]
 [0.73130902]
 [0.75648226]]"
75,"[[0.68439262]
 [0.70524956]
 [0.73346958]]"
80,"[[0.65520381]
 [0.67885872]
 [0.71004439]]"
85,"[[0.62573379]
 [0.65227512]
 [0.68626695]]"
90,"[[0.59598339]
 [0.62556815]
 [0.66227442]]"
95,"[[0.56598314]
 [0.59872093]
 [0.63819478]]"
100,"[[0.53581259]
 [0.57168758]
 [0.6140734 ]]"
105,"[[0.50556546]
 [0.54446904]
 [0.58986686]]"
110,"[[0.47530081]
 [0.51713875]
 [0.56550295]]"
115,"[[0.44504089]
 [0.48979649]
 [0.54095598]]"
120,"[[0.41481299]
 [0.46250517]
 [0.51627994]]"
125,"[[0.38468534]
 [0.43526934]
 [0.4915787 ]]"
130,"[[0.35475493]
 [0.40807102]
 [0.46694167]]"
135,"[[0.32511   ]
 [0.38092659]
 [0.44239681]]"
140,"[[0.29580013]
 [0.35390914]
 [0.41791542]]"
145,"[[0.26686351]
 [0.32711635]
 [0.39346106]]"
150,"[[0.23835099]
 [0.30062035]
 [0.36904165]]"
155,"[[0.21034702]
 [0.274447  ]
 [0.34472465]]"
160,"[[0.1829331 ]
 [0.24859793]
 [0.32060617]]"
165,"[[0.15616869]
 [0.2230933 ]
 [0.29676071]]"
170,"[[0.13008486]
 [0.19799488]
 [0.27321134]]"
175,"[[0.10471949]
 [0.17338758]
 [0.24994154]]"
180,"[[0.08013989]
 [0.14932943]
 [0.22693654]]"
185,"[[0.05643964]
 [0.12584136]
 [0.20421986]]"
190,"[[0.03375461]
 [0.10292615]
 [0.18185683]]"
195,"[[0.01266531]
 [0.0806031 ]
 [0.15992395]]"
200,"[[0.01117092]
 [0.05893709]
 [0.13847032]]"
