baseline,2.11817micron
0,1
5,0.9781580873193749
10,0.9144686535314008
15,0.8138462338760126
20,0.6837288769717403
25,0.5332356718142333
30,0.3722186372833226
35,0.21059786803682926
40,0.05782384213559108
45,0.07930960896186708
50,0.19247913144138232
55,0.27816322577842806
60,0.333724829394344
65,0.3586994918478495
70,0.35445793436569933
75,0.324154493774718
80,0.2722803652601018
85,0.20432926462570963
90,0.12645331076112257
95,0.04500612733605284
100,0.03434501982852972
105,0.10535147621994491
110,0.16390113182358923
115,0.20652974418952336
120,0.2311477802220801
125,0.23705886582302363
130,0.22498308260936706
135,0.19683976437323344
140,0.15563305748875547
145,0.10514216650823684
150,0.04961038304596514
155,0.006795573978563088
160,0.05927781941665128
165,0.10463588397645342
170,0.1397434157741748
175,0.16250494691470374
180,0.17188414432570148
185,0.16788774028885
190,0.1514973271167824
195,0.12461101738880391
200,0.08978356299704476
