baseline,10micron
0,[1],[1]
5,[0.63655543]
10,[0.16611251]
15,[0.85389855]
20,[0.93027625]
25,[0.35579632]
30,[0.47620385]
35,[0.96883193]
40,[0.77886]
45,[0.02909898]
50,[0.74010307]
55,[0.97930315]
60,[0.52610293]
65,[0.30090362]
70,[0.90966577]
75,[0.88118952]
80,[0.22355488]
85,[0.59079332]
90,[0.99663926]
95,[0.68018986]
100,[0.10819891]
105,[0.82366756]
110,[0.94772861]
115,[0.40935586]
120,[0.42464088]
125,[0.95509593]
130,[0.81507465]
135,[0.08720313]
140,[0.69893236]
145,[0.98647285]
150,[0.57417849]
155,[0.24485179]
160,[0.88596277]
165,[0.90545658]
170,[0.28034047]
175,[0.54305184]
180,[0.98993525]
185,[0.72155484]
190,[0.05000095]
195,[0.79058965]
200,[0.96196704]
