baseline,2.11817micron
0,[1],[1]
2.5,[0.998096]
5.0,[0.99241746]
7.5,[0.98298578]
10.0,[0.96981662]
12.5,[0.95297427]
15.0,[0.93252794]
17.5,[0.90854136]
20.0,[0.88110839]
22.5,[0.8503433]
25.0,[0.81635481]
27.5,[0.77926483]
30.0,[0.73922804]
32.5,[0.6963932]
35.0,[0.65090849]
37.5,[0.60296259]
40.0,[0.55273601]
42.5,[0.50040625]
45.0,[0.44618301]
47.5,[0.39027216]
50.0,[0.33287843]
52.5,[0.27422326]
55.0,[0.214531]
57.5,[0.1540246]
60.0,[0.09293374]
62.5,[0.0314916]
65.0,[0.03007033]
67.5,[0.09151776]
70.0,[0.15261868]
72.5,[0.21314305]
75.0,[0.27285585]
77.5,[0.33153607]
80.0,[0.38896287]
82.5,[0.44491105]
85.0,[0.49917348]
87.5,[0.55154829]
90.0,[0.6018297]
92.5,[0.64982759]
95.0,[0.69536793]
97.5,[0.73827307]
100.0,[0.77837287]
