baseline,2.11817
0,1
5.0,0.979793344144302
10.0,0.9204810070167323
15.0,0.8258341489104777
20.0,0.7018222788123433
25.0,0.5561528751522642
30.0,0.3976872985871985
35.0,0.2358280461414366
40.0,0.07999477083314771
45.0,0.06278991609159645
50.0,0.18282219646719294
55.0,0.2762455351677453
60.0,0.33938341251339404
65.0,0.37090776082704735
70.0,0.3716236312106285
75.0,0.34428562837037185
80.0,0.29328040024991003
85.0,0.2242642391032746
90.0,0.14368460451828774
95.0,0.05834879827155021
100.0,0.025772872834481767
105.0,0.10142912972321905
110.0,0.16453962062885163
115.0,0.21116445223412944
120.0,0.23898055561928097
125.0,0.24718845260787461
130.0,0.23644904096367036
135.0,0.20876454869271963
140.0,0.1672333059884146
145.0,0.11577081015256517
150.0,0.05878186847280042
155.0,0.0017052890679576569
160.0,0.05390783471541324
165.0,0.10136943312028322
170.0,0.13856769367898109
175.0,0.16334431127751936
180.0,0.17457536480329097
185.0,0.1722062399964764
190.0,0.1571827617552989
195.0,0.13133184650530322
200.0,0.0971801748917189
