baseline,2.11817micron,10.54976micron
0,[1],[1]
5,[0.99204914],[0.99339]
10,[0.96845105],[0.981383]
15,[0.92993725],[0.96798638]
20,[0.87765097],[0.95389726]
25,[0.81306283],[0.93939687]
30,[0.73789209],[0.92462395]
35,[0.65403035],[0.90963452]
40,[0.56347943],[0.89444585]
45,[0.4682976],[0.87906528]
50,[0.3705544],[0.86350141]
55,[0.27229177],[0.84776497]
60,[0.17550119],[0.8318696]
65,[0.0821851],[0.81582939]
70,[0.0111358],[0.79965816]
75,[0.08911414],[0.78337046]
80,[0.1626884],[0.7669791]
85,[0.22702492],[0.75049682]
90,[0.28094051],[0.73393618]
95,[0.32351963],[0.717309]
100,[0.35405736],[0.70062702]
105,[0.3720547],[0.68390067]
110,[0.],[0.66714022]
115,[0.],[0.6503562]
120,[0.],[0.63355865]
125,[0.],[0.61675714]
130,[0.],[0.59996053]
135,[0.],[0.58317724]
140,[0.],[0.56641483]
145,[0.],[0.54968047]
150,[0.],[0.53298091]
155,[0.],[0.51632256]
160,[0.],[0.49971192]
165,[0.],[0.48315529]
170,[0.],[0.46665912]
175,[0.],[0.45022946]
180,[0.],[0.43387233]
185,[0.],[0.41759433]
190,[0.],[0.40140127]
195,[0.],[0.38529881]
200,[0.],[0.36929239]
