baseline,2.11817micron,10.54976micron
0,[1],[1]
5,[0.4398466],[0.8997445]
10,[0.29170348],[0.75922461]
15,[0.22235939],[0.60466316]
20,[0.18451046],[0.44499919]
25,[0.15804396],[0.2878441]
30,[0.12886936],[0.14019816]
35,[0.11975334],[0.01009905]
40,[0.09172907],[0.10127271]
45,[0.09055945],[0.18451526]
50,[0.06424805],[0.23895707]
55,[0.06600888],[0.26405063]
60,[0.04335048],[0.26142654]
65,[0.04458923],[0.23458233]
70,[0.0276259],[0.18853514]
75,[0.02619437],[0.12933769]
80,[0.01622774],[0.06354393]
85,[0.01048147],[0.00354439]
90,[0.00896458],[0.06239393]
95,[0.00392602],[0.11145444]
100,[0.00254869],[0.14602496]
105,[0.01312297],[0.16418017]
110,[0.00336191],[0.16542716]
115,[0.0180527],[0.15107158]
120,[0.00517151],[0.1234729]
125,[0.01996454],[0.08623249]
130,[0.00541981],[0.04344346]
135,[0.01954763],[0.00147962]
140,[0.00469644],[0.04145254]
145,[0.01721593],[0.07573926]
150,[0.00383844],[0.10063501]
155,[0.01383505],[0.11447231]
160,[0.00298674],[0.11664987]
165,[0.00960776],[0.10771251]
170,[0.00232419],[0.08918051]
175,[0.00541726],[0.06343764]
180,[0.00246776],[0.03332532]
185,[0.00115055],[0.00202486]
190,[0.00262498],[0.0277219]
195,[0.00281633],[0.0529768]
200,[0.00255518],[0.07171401]
