baseline,2.11817micron,10.54976micron
0,[1],[1]
5,[0.43421178],[0.88374859]
10,[0.29044605],[0.73062928]
15,[0.2195005],[0.57012312]
20,[0.1845955],[0.41047969]
25,[0.1558635],[0.25796849]
30,[0.13005223],[0.11809774]
35,[0.11761386],[0.00634088]
40,[0.09324098],[0.10390412]
45,[0.08869461],[0.17794777]
50,[0.06579255],[0.2247655]
55,[0.06458191],[0.24445066]
60,[0.04480483],[0.2388965]
65,[0.04363382],[0.2116512]
70,[0.02882473],[0.16758182]
75,[0.02555508],[0.11239374]
80,[0.01686513],[0.05215365]
85,[0.01037545],[0.00776693]
90,[0.00907171],[0.06091591]
95,[0.0036719],[0.10413415]
100,[0.00221198],[0.13404072]
105,[0.01242106],[0.1490686]
110,[0.00401009],[0.1488886]
115,[0.01716929],[0.13481026]
120,[0.00618736],[0.10909086]
125,[0.01902308],[0.07508184]
130,[0.00664461],[0.03646595]
135,[0.01865701],[0.00312427]
140,[0.00598277],[0.03927504]
145,[0.01651341],[0.06950348]
150,[0.00499876],[0.09119168]
155,[0.01335934],[0.10292368]
160,[0.00395412],[0.10424364]
165,[0.00937627],[0.09571993]
170,[0.00297636],[0.07876816]
175,[0.00544268],[0.05556983]
180,[0.00278525],[0.02865105]
185,[0.00140812],[0.00090647]
190,[0.00255882],[0.02552367]
195,[0.0024317],[0.04778344]
200,[0.00212478],[0.06420403]
