baseline,2.11817micron,10.54976micron
0,[1],[1]
5,[0.43025033],[0.86821669]
10,[0.28936058],[0.70323327]
15,[0.21807637],[0.53759766]
20,[0.18516806],[0.37847494]
25,[0.15437946],[0.23078197]
30,[0.13126508],[0.09851558]
35,[0.11599707],[0.01530745]
40,[0.09452537],[0.10524599]
45,[0.08727315],[0.17088984]
50,[0.06701511],[0.21094934]
55,[0.0634967],[0.22609818]
60,[0.04589494],[0.21842693]
65,[0.04293898],[0.19141094]
70,[0.02972263],[0.14961118]
75,[0.02509971],[0.09831382]
80,[0.01735165],[0.042991]
85,[0.01026384],[0.0112887]
90,[0.00908811],[0.05909659]
95,[0.00348289],[0.09731446]
100,[0.00196046],[0.12318388]
105,[0.01189138],[0.13551243]
110,[0.00461139],[0.13421863]
115,[0.0164947],[0.12063994]
120,[0.00706707],[0.09683725]
125,[0.0182758],[0.06582416]
130,[0.00766861],[0.03090992]
135,[0.01793083],[0.00454353]
140,[0.00703307],[0.03685355]
145,[0.01592041],[0.06363235]
150,[0.0059336],[0.08267443]
155,[0.01294246],[0.09277714]
160,[0.00472235],[0.09356967]
165,[0.00916578],[0.08559249]
170,[0.00351109],[0.07013621]
175,[0.0054294],[0.04917029]
180,[0.00302902],[0.0249764]
185,[0.00158372],[0.00048992]
190,[0.00248211],[0.02344885]
195,[0.00216468],[0.04326713]
200,[0.00175865],[0.05781249]
