baseline,"[8.516709, 9.478886, 10.54976, 11.74162, 13.06814]"
0,1
5,"[[0.95017541]
 [0.95614039]
 [0.96335428]
 [0.96995568]
 [0.97400055]]"
10,"[[0.81156503]
 [0.83297851]
 [0.85922742]
 [0.88343237]
 [0.89927641]]"
15,"[[0.61169079]
 [0.65083341]
 [0.70209924]
 [0.75034329]
 [0.78262816]]"
20,"[[0.38666269]
 [0.43802773]
 [0.51206124]
 [0.58491412]
 [0.63472193]]"
25,"[[0.17251385]
 [0.22342533]
 [0.31112112]
 [0.40317818]
 [0.46784432]]"
30,"[[0.00585324]
 [0.03326599]
 [0.1197129 ]
 [0.22084976]
 [0.29432923]]"
35,"[[0.11443636]
 [0.11664608]
 [0.04820051]
 [0.05297084]
 [0.12591863]]"
40,"[[0.156798  ]
 [0.20892237]
 [0.17361534]
 [0.09499073]
 [0.03376928]]"
45,"[[0.13120151]
 [0.24026322]
 [0.25267026]
 [0.20581353]
 [0.16227539]]"
50,"[[0.05137346]
 [0.21338424]
 [0.28103928]
 [0.27775115]
 [0.26494382]]"
55,"[[0.06214962]
 [0.13933776]
 [0.26051771]
 [0.30781092]
 [0.33438343]]"
60,"[[0.18178546]
 [0.03528326]
 [0.19891309]
 [0.29704695]
 [0.36860361]]"
65,"[[0.28526688]
 [0.08145153]
 [0.10827927]
 [0.25032536]
 [0.36748446]]"
70,"[[0.35413714]
 [0.18864331]
 [0.00918593]
 [0.17576818]
 [0.33443095]]"
75,"[[0.37824437]
 [0.27216837]
 [0.10376872]
 [0.0837862 ]
 [0.27470946]]"
80,"[[0.35640717]
 [0.32074494]
 [0.19614995]
 [0.01853897]
 [0.19564313]]"
85,"[[0.29625217]
 [0.32951222]
 [0.26510954]
 [0.11099421]
 [0.10568554]]"
90,"[[0.21268254]
 [0.29956533]
 [0.30334867]
 [0.19238047]
 [0.01587527]]"
95,"[[0.12405965]
 [0.23842489]
 [0.30808634]
 [0.25328532]
 [0.07585821]]"
100,"[[0.04826503]
 [0.15806988]
 [0.28067249]
 [0.28868021]
 [0.15107111]]"
105,"[[0.00269239]
 [0.0728805 ]
 [0.22648298]
 [0.29630117]
 [0.20909153]]"
110,"[[0.01558987]
 [0.00367736]
 [0.15437875]
 [0.27679446]
 [0.24598196]]"
115,"[[0.00859985]
 [0.05860079]
 [0.07504387]
 [0.23365703]
 [0.2595287 ]]"
120,"[[0.05741223]
 [0.08584343]
 [0.0043873 ]
 [0.17281196]
 [0.24990711]]"
125,"[[0.12548429]
 [0.08203168]
 [0.06382983]
 [0.10183154]
 [0.21878495]]"
130,"[[0.19656723]
 [0.04951476]
 [0.10613446]
 [0.02920198]
 [0.17010479]]"
135,"[[0.25612434]
 [0.00817343]
 [0.12377084]
 [0.03912244]
 [0.10901164]]"
140,"[[0.2929893 ]
 [0.07299793]
 [0.11543568]
 [0.09364714]
 [0.04178195]]"
145,"[[0.30110229]
 [0.14039415]
 [0.08344559]
 [0.13087646]
 [0.02775437]]"
150,"[[0.28014952]
 [0.1974013 ]
 [0.03326886]
 [0.1475791 ]
 [0.08931099]]"
155,"[[0.23561924]
 [0.23527925]
 [0.029383  ]
 [0.14283164]
 [0.14096447]]"
160,"[[0.17748983]
 [0.24900937]
 [0.09267945]
 [0.11795432]
 [0.17831468]]"
165,"[[0.11810115]
 [0.23738551]
 [0.15006826]
 [0.07640471]
 [0.19883329]]"
170,"[[0.06957889]
 [0.20332261]
 [0.19410271]
 [0.02376856]
 [0.20150346]]"
175,"[[0.04118512]
 [0.15317778]
 [0.21957889]
 [0.0362272 ]
 [0.18654708]]"
180,"[[0.03746495]
 [0.09579613]
 [0.22411435]
 [0.09328754]
 [0.15603786]]"
185,"[[0.05784925]
 [0.04091942]
 [0.2079088 ]
 [0.14338615]
 [0.11304382]]"
190,"[[0.09751828]
 [0.00314999]
 [0.17370314]
 [0.18136037]
 [0.06193873]]"
195,"[[0.14793553]
 [0.02840346]
 [0.12664649]
 [0.20374389]
 [0.0091536 ]]"
200,"[[0.1985046 ]
 [0.03291482]
 [0.07345962]
 [0.2088001 ]
 [0.04641797]]"
