baseline,0.8 micron
0,1
5,0.9862150684261889
10,0.9783052104637742
15,0.9713182434823856
20,0.9669820587668436
25,0.9645552929455619
30,0.9657189307152442
35,0.9676023904591752
40,0.9709509712193252
45,0.9733544015725167
50,0.9733621458672818
55,0.9724061014102302
60,0.9713538311221966
65,0.9691490691478937
70,0.9680644914571429
75,0.9681578350772545
80,0.9695419762350782
85,0.9710562271109714
90,0.9718722267903521
95,0.9724449380491523
100,0.9724363916422989
105,0.9715198341022965
110,0.9707665659142426
115,0.969741918984628
120,0.9693675453946249
125,0.9695504158324352
130,0.9697616539783289
135,0.9707237733878248
140,0.9708758321804424
145,0.9712712239304161
150,0.971050629821101
155,0.9704839877199195
160,0.9697562153669913
165,0.969043521618841
170,0.9694245939837481
175,0.9693873764728829
180,0.9705005382435069
185,0.9710106387701032
190,0.9722601815956967
195,0.9717033164223381
200,0.9709570979360803
