baseline,0.8 micron
0,1
5,0.9862262429367751
10,0.978273826958355
15,0.9712904093593517
20,0.9669245994029445
25,0.9644762941056431
30,0.9656304309294024
35,0.9675346996946113
40,0.9709324508852144
45,0.9733555547954683
50,0.973400920999401
55,0.9725037120739636
60,0.9713817668328888
65,0.969129015316161
70,0.9680943440502157
75,0.9681210194673509
80,0.969500737440628
85,0.9710248878027303
90,0.9718467138748605
95,0.9723926313845249
100,0.9724235756106854
105,0.9715351767928654
110,0.9707424822273703
115,0.9697290058474849
120,0.9693083191391793
125,0.9694519495625092
130,0.96970328747492
135,0.9706764420314308
140,0.9708785181640875
145,0.9712335145439045
150,0.9710664197116421
155,0.9704602598103889
160,0.9696904989060988
165,0.9690518618080988
170,0.9694407425180688
175,0.9693994926166186
180,0.9705146270499476
185,0.9710546608411991
190,0.9722064607755784
195,0.9716992922054342
200,0.9709635993055835
