baseline,0.8 micron
0,1
5,0.9782552435389239
10,0.9147845611556447
15,0.8144550520893716
20,0.6846100838467967
25,0.5342439586251579
30,0.3731815249903101
35,0.21133941129467337
40,0.05824608584392305
45,0.07935602351757658
50,0.19290231707635885
55,0.2789008685931573
60,0.33466330883376866
65,0.3596366110213405
70,0.3552708579211707
75,0.3247130164730734
80,0.27250419242152574
85,0.20421093355402922
90,0.12601513607379042
95,0.04433427438031569
100,0.03515752954296193
105,0.10614953143596853
110,0.1645849846918489
115,0.20700281507558688
120,0.23135690308301063
125,0.2369973538567982
130,0.22466683295003417
135,0.19635013180769711
140,0.1550594336378243
145,0.10457399106124257
150,0.04913676325935592
155,0.007132724922325352
160,0.05942368879182109
165,0.10460309222496132
170,0.13955581563961025
175,0.16222429491092225
180,0.17156763266019412
185,0.16757872847839292
190,0.15124967031531522
195,0.12444786974693574
200,0.08971994680120467
